                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                  0.385,                0.75287,                0.46884,                0.93734,                 0.8172,                0.68242,                 0.7631,                0.65309,                0.78908,                0.66753,                0.72605,                0.55777,                0.68213,                 1.4132,                 1.0313,                 1.1902,             0.00027837,             0.00027837,             0.00027837
                     63,                 0.3697,                0.70317,                0.45535,                0.92977,                0.76808,                0.69351,                0.74354,                0.63834,                0.77578,                0.65933,                0.71328,                0.54097,                0.68716,                 1.4166,                 1.0355,                 1.1878,             0.00025951,             0.00025951,             0.00025951
                     64,                0.37042,                0.71034,                 0.4453,                0.93122,                 0.8479,                 0.6692,                0.74828,                0.63739,                0.82075,                 0.6607,                0.73222,                0.55682,                0.69296,                 1.4129,                  1.015,                 1.2046,             0.00024064,             0.00024064,             0.00024064
                     65,                0.36888,                0.71187,                0.44961,                0.93071,                0.75505,                0.69637,                0.74847,                0.63634,                0.83786,                0.61151,                0.71409,                0.55088,                 0.6618,                 1.4165,                 1.0331,                 1.1757,             0.00022178,             0.00022178,             0.00022178
                     66,                0.31921,                0.62594,                0.32636,                0.92315,                0.79472,                0.69063,                0.75548,                0.63791,                0.82601,                0.63802,                0.72306,                0.54138,                 0.6849,                  1.479,                0.98415,                 1.2089,             0.00020292,             0.00020292,             0.00020292
                     67,                0.30739,                0.57608,                0.30017,                  0.901,                0.76808,                0.70316,                0.74671,                0.63143,                0.75397,                0.68167,                0.71908,                0.55177,                0.69034,                  1.457,                 1.0332,                 1.2198,             0.00018406,             0.00018406,             0.00018406
                     68,                0.29929,                0.57801,                 0.2771,                0.89675,                0.79455,                0.70047,                0.75581,                0.64685,                0.82781,                0.64354,                0.72414,                0.55975,                0.64925,                 1.4191,                 1.0132,                 1.1851,             0.00016519,             0.00016519,             0.00016519
                     69,                0.29581,                0.56403,                0.27775,                0.89822,                0.77256,                0.72193,                0.76371,                0.65407,                0.83655,                0.64678,                0.73718,                0.56311,                0.64952,                 1.4311,                0.93617,                 1.1946,             0.00014633,             0.00014633,             0.00014633
                     70,                0.28277,                0.55127,                0.26329,                0.89957,                0.85536,                0.63974,                0.75913,                0.65353,                0.89076,                0.60371,                0.72313,                0.56079,                0.65783,                 1.4708,                 1.0034,                 1.1907,             0.00012747,             0.00012747,             0.00012747
                     71,                0.28033,                0.54954,                0.25901,                0.89045,                0.79627,                0.70126,                0.75755,                0.65537,                0.78305,                0.67712,                0.72918,                0.56039,                0.64728,                 1.4289,                0.98251,                 1.1805,              0.0001086,              0.0001086,              0.0001086
                     72,                0.27287,                0.53946,                0.24689,                0.88475,                0.82774,                 0.6824,                 0.7619,                0.66176,                0.87655,                0.63076,                0.73263,                0.56853,                0.64993,                 1.4193,                0.98048,                  1.177,             8.9741e-05,             8.9741e-05,             8.9741e-05
                     73,                0.26897,                 0.5289,                0.24438,                0.88751,                0.87547,                 0.6533,                0.76191,                0.65625,                0.87275,                0.62711,                0.73339,                 0.5672,                0.65444,                 1.4518,                0.99405,                 1.1874,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     74,                0.26446,                 0.5215,                0.23891,                0.88035,                0.82363,                0.67857,                  0.761,                0.65649,                0.82417,                0.66223,                0.72964,                0.56573,                0.65401,                  1.443,                0.97653,                 1.1998,             5.2016e-05,             5.2016e-05,             5.2016e-05
                     75,                0.25825,                0.51971,                0.22676,                0.87456,                0.85959,                0.66466,                 0.7622,                0.65966,                0.84159,                 0.6517,                0.73117,                0.56754,                0.64951,                 1.4486,                0.97074,                  1.198,             3.3153e-05,             3.3153e-05,             3.3153e-05
